65 Event 315707, Run 885, Split 27: Ecm = 3.82, Z = 257.82: D
66 Event 735060, Run 913, Split 5: Ecm = 6.85, Z = 256.96: D
67 Event 806193, Run 897, Split 6: Ecm = 4.27, Z = 256.65: E
68 Event 779493, Run 913, Split 9: Ecm = 5.58, Z = 256.58: E
69 Event 300766, Run 879, Split 15: Ecm = 7.58, Z = 256.39: B
70 Event 665506, Run 889, Split 6: Ecm = 5.80, Z = 256.00: D
71 Event 1037459, Run 898, Split 13: Ecm = 5.44, Z = 255.01: D
72 Event 1262017, Run 915, Split 10: Ecm = 5.41, Z = 254.97: E
73 Event 300129, Run 885, Split 26: Ecm = 4.60, Z = 254.54: D
74 Event 330970, Run 931, Split 5: Ecm = 6.60, Z = 254.22: D
75 Event 779163, Run 924, Split 15: Ecm = 3.68, Z = 253.16: B
76 Event 183276, Run 930, Split 4: Ecm = 4.85, Z = 252.92: E
77 Event 131227, Run 893, Split 13: Ecm = 4.30, Z = 252.44: D
78 Event 381120, Run 931, Split 11: Ecm = 6.46, Z = 252.36: E
79 Event 512981, Run 884, Split 43: Ecm = 6.24, Z = 252.07: B
80 Event 150734, Run 921, Split 13: Ecm = 5.16, Z = 251.56: B
81 Event 845386, Run 913, Split 15: Ecm = 5.89, Z = 251.38: D
82 Event 263090, Run 894, Split 3: Ecm = 3.62, Z = 250.21: E
83 Event 25234, Run 929, Split 2: Ecm = 4.62, Z = 250.11: E
0 Event 1298095, Run 927, Split 13: Ecm = 3.47, Z = 249.61: E
1 Event 312738, Run 909, Split 8: Ecm = 3.48, Z = 244.76: D
2 Event 46180, Run 918, Split 4: Ecm = 3.21, Z = 235.78: E
3 Event 1173564, Run 899, Split 7: Ecm = 3.24, Z = 222.26: E
4 Event 1729012, Run 902, Split 0: Ecm = 3.49, Z = 216.68: D
5 Event 45887, Run 893, Split 4: Ecm = 3.47, Z = 209.00: E
6 Event 54712, Run 921, Split 4: Ecm = 3.50, Z = 207.56: E
7 Event 84438, Run 908, Split 8: Ecm = 3.48, Z = 192.86: E
8 Event 1319567, Run 927, Split 15: Ecm = 3.46, Z = 191.27: E
9 Event 185461, Run 930, Split 5: Ecm = 3.48, Z = 176.27: E
