279 Event 78530, Run 659, Split 11: Ecm = 2.08, Z = 229.54: D
280 Event 927222, Run 785, Split 2: Ecm = 2.08, Z = 237.00: A
281 Event 1193037, Run 688, Split 45: Ecm = 2.08, Z = 262.11: A
282 Event 925150, Run 662, Split 43: Ecm = 2.08, Z = 263.20: B
283 Event 625299, Run 686, Split 29: Ecm = 2.08, Z = 270.41: A
284 Event 1476860, Run 689, Split 5: Ecm = 2.08, Z = 268.21: D
285 Event 1658267, Run 791, Split 52: Ecm = 2.08, Z = 279.97: E
286 Event 670285, Run 834, Split 20: Ecm = 2.08, Z = 257.09: B
287 Event 568467, Run 668, Split 43: Ecm = 2.09, Z = 238.82: A
288 Event 923445, Run 662, Split 43: Ecm = 2.09, Z = 251.50: D
289 Event 1341720, Run 664, Split 41: Ecm = 2.09, Z = 250.13: C
290 Event 38018, Run 705, Split 6: Ecm = 2.09, Z = 256.05: A
291 Event 704648, Run 674, Split 64: Ecm = 2.09, Z = 239.85: A
292 Event 3222035, Run 680, Split 60: Ecm = 2.10, Z = 340.85: B
293 Event 5089380, Run 684, Split 48: Ecm = 2.10, Z = 324.96: E
294 Event 2273061, Run 655, Split 29: Ecm = 2.10, Z = 296.20: E
295 Event 4498109, Run 683, Split 28: Ecm = 2.10, Z = 252.37: A
296 Event 408669, Run 801, Split 86: Ecm = 2.10, Z = 263.53: F
297 Event 614986, Run 751, Split 43: Ecm = 2.10, Z = 271.45: B
298 Event 789176, Run 784, Split 68: Ecm = 2.10, Z = 247.43: B
299 Event 1533977, Run 772, Split 22: Ecm = 2.10, Z = 289.52: E
300 Event 2427641, Run 943, Split 3: Ecm = 2.10, Z = 245.01: D
301 Event 1016190, Run 662, Split 62: Ecm = 2.10, Z = 290.92: C
302 Event 2345979, Run 823, Split 65: Ecm = 2.11, Z = 281.69: B
303 Event 1459234, Run 814, Split 71: Ecm = 2.11, Z = 229.45: B
304 Event 313228, Run 672, Split 63: Ecm = 2.12, Z = 238.00: F
305 Event 569996, Run 818, Split 23: Ecm = 2.12, Z = 267.08: E
306 Event 2264022, Run 942, Split 3: Ecm = 2.12, Z = 293.95: E
307 Event 3111121, Run 947, Split 2: Ecm = 2.13, Z = 331.55: B
308 Event 1432184, Run 753, Split 18: Ecm = 2.13, Z = 310.71: A
309 Event 1621641, Run 665, Split 27: Ecm = 2.13, Z = 311.80: D
310 Event 34037, Run 709, Split 6: Ecm = 2.13, Z = 345.19: B
311 Event 160311, Run 659, Split 28: Ecm = 2.13, Z = 259.08: D
312 Event 867008, Run 752, Split 1: Ecm = 2.13, Z = 244.84: A
313 Event 1491970, Run 843, Split 19: Ecm = 2.13, Z = 272.90: C
314 Event 531150, Run 668, Split 35: Ecm = 2.14, Z = 309.22: B
315 Event 128629, Run 797, Split 27: Ecm = 2.14, Z = 221.44: A
316 Event 600251, Run 770, Split 21: Ecm = 2.14, Z = 269.73: A
317 Event 1256204, Run 799, Split 68: Ecm = 2.14, Z = 268.25: C
318 Event 2168531, Run 816, Split 70: Ecm = 2.14, Z = 253.47: D
